u,i
309,778
2755,1325
5612,1677
1562,2703
210,1483
1603,225
3284,1114
4900,127
2619,1348
5847,2979
2262,2830
3437,1676
2773,1569
549,874
1827,837
3293,905
5055,314
111,524
3714,2455
602,1326
4705,1000
5368,467
877,1371
673,2066
2853,639
4581,852
276,1024
5576,82
2902,1905
4075,3110
4957,385
3975,829
2726,1563
1365,2358
2949,458
4939,958
2731,2415
2620,2514
2062,1348
1440,294
2233,1051
2440,1031
4912,140
584,996
4569,942
2923,1096
2461,2497
119,1563
1463,2872
5469,1095
1803,2507
1350,2494
1238,722
3898,2449
979,1034
553,456
3898,1747
4421,1151
2951,2100
5861,1009
4100,1045
4439,861
3481,1056
5339,1869
3061,229
2917,666
2755,967
5891,2789
2330,1211
523,1464
4728,2705
1877,983
1246,1702
2148,1024
2875,1535
911,1533
4777,953
368,1867
5043,845
3543,944
5055,1684
2778,2199
2183,1294
3796,259
5310,2518
4583,944
4716,417
2952,1467
4583,385
3923,1843
4628,305
4205,706
4086,2584
3026,2006
4847,1029
3568,1800
1603,883
321,1976
4237,1793
1978,523
5530,2453
3697,726
4393,571
951,521
772,98
4151,674
1587,1421
1340,1068
1553,709
2847,2398
3714,1563
108,1371
4431,945
2553,2502
3046,1086
1966,16
5122,715
3092,1623
4144,1644
829,984
2663,1018
5707,2788
2886,1747
3954,1127
2949,1397
501,2167
333,2629
3431,2711
3872,2347
3228,2243
4814,416
750,959
3244,1658
1319,211
3153,1573
5244,870
658,2634
4267,1877
5015,2393
4204,2225
4867,1014
4007,1829
1206,2089
4201,1936
4081,2494
5028,1114
5541,679
2541,2027
769,138
266,523
3798,1019
188,276
244,337
1382,1241
1757,2514
128,447
2839,2753
3819,1877
2512,1036
5389,1866
2656,1618
5212,2497
344,2880
4838,266
2399,1800
1974,519
4473,2398
918,832
2789,2574
261,710
832,2165
85,975
2147,1774
1837,994
5267,2970
5831,968
1158,2007
3782,1038
3629,100
1248,2393
4380,1019
3507,385
3891,1476
5822,1110
3698,821
3002,473
1375,1128
3518,2374
5932,9
895,945
4300,1748
1046,978
1995,837
1359,1851
2867,140
3366,960
5506,2027
3653,1765
3152,1403
2117,715
3474,739
4155,1867
4358,2441
4308,516
5275,1066
4037,1685
2757,1504
932,57
5771,1739
3677,2975
991,2791
904,710
3056,2977
5784,400
5287,2393
1754,976
5101,882
3091,1024
1005,1539
1505,945
5303,604
3809,2454
3971,1179
3152,2091
4674,1272
2200,523
1854,2318
3155,2318
2924,1043
326,1846
2456,1022
5666,16
119,2841
2418,1936
2196,449
4900,820
1288,1241
2286,2350
827,2374
3122,1035
1675,535
1257,975
366,924
3989,2785
5830,1702
985,199
172,1890
3240,2191
4651,844
2615,1748
2701,2267
1172,1355
5509,961
4475,23
952,2850
4939,1510
3639,1314
286,777
3153,633
4209,1314
2091,3176
136,1697
2278,1849
658,339
2068,2411
3377,860
5697,2078
2998,1235
2767,2496
3851,1389
2579,954
3977,1029
3012,2393
4681,1673
3901,138
1592,525
5450,45
1927,467
5489,2728
2942,2791
4002,218
205,142
4327,252
1089,27
792,1661
42,1639
3089,2219
5946,2861
5351,2626
5816,729
5767,1105
1429,1753
3847,2911
4536,43
1383,1086
50,369
1656,1608
2092,9
783,1614
5892,2377
1962,986
5133,927
3294,874
96,2909
2208,3005
2886,421
4138,1676
2726,2100
842,1041
2375,2306
4864,1776
3353,974
2594,604
3284,1211
3990,306
5396,45
4581,751
2433,1390
5769,954
4756,276
3105,922
879,1820
5434,319
344,2058
3411,607
1324,2174
2935,1015
2758,960
2562,2054
4822,747
1262,2310
3506,944
5474,480
4439,2706
734,285
811,1397
3695,1713
3153,2100
2221,705
2586,2515
4993,2204
649,883
829,878
5021,2455
3280,870
2939,1389
2933,848
4719,1348
3074,2498
4269,519
4297,1486
1451,435
2785,516
1046,1664
1478,2421
40,1045
1989,2617
3001,2790
3989,954
1723,1520
4988,806
2896,2816
3372,1753
1467,1159
4580,716
3703,873
1991,1099
5257,1487
1309,2297
2779,1475
4117,905
1962,1173
406,2855
921,2764
1962,1518
4435,21
4506,252
147,34
3658,1326
3238,1042
4488,2949
309,726
636,2079
5383,141
5844,1515
5365,1216
2385,2696
1446,1403
3405,849
3596,2626
5603,1012
1350,1574
903,1933
4758,2521
3941,2133
2560,3005
1998,1518
272,230
5289,1623
5739,1797
3021,1294
5115,413
236,2448
3819,2974
1754,2705
5185,2240
2652,905
5658,1646
984,1915
2831,874
4871,1757
1243,3176
2365,525
1560,1848
1336,2596
2867,942
3473,1036
4999,959
3342,2622
1292,2750
779,2167
3947,1278
2767,1503
3540,15
5905,2219
4220,2626
4142,679
2126,920
1260,1117
46,1035
1754,2505
1,2002
2157,274
985,1844
1827,1182
319,1356
2603,195
2411,2456
2512,1022
847,1510
4326,2262
5283,1489
1980,1742
1749,2889
4877,229
4014,865
3965,1119
57,706
4308,2255
4507,1910
3887,1481
147,1086
5701,413
3001,760
3265,2699
4078,385
5445,1849
269,2284
1372,138
3229,2518
3317,2514
4699,2791
803,2551
4227,9
144,306
3275,1119
5785,1241
5163,2679
1921,1159
4407,1142
1080,2413
445,2706
1869,2568
5287,924
37,2165
5413,449
4705,757
2352,260
258,37
1562,759
143,2376
4410,2759
2916,2078
921,1753
3491,1903
4006,2240
2393,525
3800,458
5389,1117
3324,881
4081,947
5175,1800
685,1903
2017,2586
4205,972
5253,525
5695,895
5507,2026
3727,2507
2389,1697
3719,1821
5426,1917
867,482
157,1024
4389,728
4316,1001
40,336
3288,1329
3631,1482
1592,478
5896,2360
4062,1571
2927,718
3279,1527
2139,2728
5306,2448
3465,1665
4153,2511
2501,2790
639,866
5339,2297
4628,294
390,188
3667,892
2330,172
4241,1981
1827,2571
5079,1013
234,1040
1738,188
3965,1096
4997,2112
627,1579
2163,838
2573,1338
570,1456
2198,1487
5016,990
1603,991
5511,1706
5055,525
3312,2133
3222,2714
1529,2349
1167,865
3963,1099
5403,1844
3301,971
5799,2441
2615,1526
4431,1019
4302,127
1775,2551
4824,963
5861,2349
3807,969
3063,1326
4084,225
4190,976
3975,2415
2914,2398
1695,3121
3419,397
578,608
2297,1179
4639,2858
3419,1281
906,976
2542,193
4709,1071
3355,519
5263,456
5690,1086
5831,2310
2308,1511
5700,2393
1838,2188
5802,958
4146,1296
4293,1093
273,2114
5742,1773
4607,2438
4007,2027
4248,1048
2773,1
1815,508
3170,681
1128,661
1199,3060
5379,1020
314,294
2119,1071
1257,950
1749,1314
5666,2791
1772,469
606,1037
4063,1456
2530,1020
1378,1487
3989,1020
5016,759
3345,519
5045,1206
3817,2578
4349,2415
3658,1241
3419,243
536,815
5456,2663
766,1372
3336,718
3716,921
624,1022
3969,994
2369,1573
4174,2833
934,6
4100,2130
2100,994
2701,2249
2279,871
803,1517
4215,1075
568,1569
2020,2634
5816,313
1533,13
2620,306
3466,2862
3225,2170
1168,729
829,518
3517,905
390,1228
2989,142
5907,1490
2269,1504
1426,927
4943,2454
4635,1258
2900,260
254,928
4000,1776
5882,1041
