u,i
0,1869
1,1510
2,2623
3,729
4,1479
5,46
6,965
7,465
8,833
9,1935
10,2003
11,211
12,2880
13,2152
14,942
15,0
16,978
17,2555
18,99
19,2914
20,971
21,253
22,2515
23,2567
24,1034
25,521
26,862
27,2936
28,2866
29,858
30,990
31,416
32,1684
33,777
34,3147
35,943
36,1272
37,2520
38,2309
39,319
40,1048
41,2059
42,1568
43,589
44,1070
45,1582
46,775
47,829
48,3061
49,1695
50,379
51,1084
52,979
53,1793
54,2409
55,2596
56,725
57,869
58,272
59,100
60,956
61,960
62,1206
63,3026
64,256
65,1667
66,211
67,1907
68,521
69,2577
70,1035
71,2739
72,1661
73,1421
74,2151
75,924
76,2218
77,2466
78,2786
79,1095
80,878
81,1724
82,3160
83,1606
84,3061
85,1519
86,828
87,1907
88,1048
89,321
90,1748
91,2026
92,1489
93,898
94,2716
95,2374
96,2775
97,100
98,2032
99,2504
100,1101
101,2173
102,1982
103,2775
104,2188
105,860
106,800
107,1195
108,788
109,943
110,2218
111,1906
112,1963
113,946
114,966
115,1489
116,3053
117,965
118,2029
119,1244
120,2478
121,940
122,3091
123,2419
124,337
125,2100
126,1010
127,3176
128,2630
129,1029
130,449
131,2521
132,1730
133,730
134,54
135,250
136,980
137,2802
138,2549
139,984
140,2065
141,521
142,2173
143,751
144,2802
145,1105
146,334
147,1117
148,384
149,120
150,1292
151,2159
152,1032
153,2419
154,860
155,400
156,1393
157,1480
158,1237
159,2739
160,2218
161,1036
162,2841
163,3093
164,1010
165,865
166,1020
167,512
168,712
169,1515
170,2865
171,2512
172,455
173,1035
174,806
175,1590
176,2551
177,63
178,2865
179,2589
180,319
181,1585
182,1099
183,1323
184,984
185,1765
186,2959
187,120
188,520
189,2521
190,2848
191,2297
192,1479
193,260
194,638
195,467
196,1203
197,2842
198,2865
199,1279
200,2110
201,1014
202,1766
203,3174
204,848
205,400
206,3176
207,1250
208,1872
209,3054
210,2750
211,1872
212,2059
213,2178
214,2227
215,2739
216,1010
217,2915
218,642
219,1708
220,2350
221,1014
222,2419
223,1026
224,2419
225,1101
226,2880
227,2949
228,805
229,1035
230,390
231,2865
232,1272
233,256
234,759
235,170
236,2100
237,1869
238,1046
239,438
240,2548
241,1619
242,849
243,2100
244,2736
245,829
246,1935
247,2297
248,1354
249,1575
250,967
251,633
252,1305
253,2140
254,1127
255,9
256,1674
257,1674
258,971
259,557
260,3026
261,1623
262,2622
263,3186
264,1014
265,978
266,1658
267,942
268,2219
269,874
270,1932
271,211
272,321
273,1547
274,943
275,1489
276,940
277,2426
278,313
279,1574
280,1088
281,2458
282,99
283,994
284,1241
