u,i
0,1512
1,2426
2,2195
3,2790
4,945
5,1081
6,1241
7,2342
8,1117
9,1606
10,875
11,2665
12,1525
13,1869
14,2167
15,2038
16,2326
17,2548
18,640
19,3053
20,965
21,2480
22,520
23,3123
24,180
25,2704
26,2249
27,2635
28,54
29,421
30,99
31,1732
32,321
33,1525
34,2243
35,1013
36,722
37,1869
38,1568
39,2569
40,1484
41,1918
42,1020
43,721
44,453
45,533
46,710
47,942
48,3028
49,3085
50,830
51,229
52,2028
53,2512
54,100
55,909
56,924
57,2188
58,79
59,716
60,984
61,2036
62,2975
63,1206
64,714
65,521
66,2492
67,1203
68,2846
69,2249
70,900
71,2297
72,802
73,385
74,1835
75,20
76,2847
77,2816
78,2980
79,1936
80,79
81,1211
82,2577
83,1684
84,946
85,1910
86,2243
87,1109
88,975
89,1203
90,1437
91,2243
92,1350
93,2204
94,775
95,3085
96,942
97,994
98,2269
99,739
100,1486
101,1907
102,1241
103,480
104,3017
105,2853
106,2205
107,2797
108,956
109,2920
110,2347
111,806
112,2777
113,2766
114,1338
115,856
116,2258
117,1844
118,614
119,967
120,307
121,470
122,306
123,942
124,946
125,994
126,1849
127,730
128,1086
129,1907
130,1793
131,2974
132,2182
133,294
134,313
135,3005
136,900
137,2665
138,1116
139,2152
140,2037
141,34
142,2150
143,1869
144,1483
145,881
146,1228
147,2753
148,313
149,1244
150,64
151,2284
152,2297
153,2515
154,2027
155,1753
156,2145
157,2594
158,1851
159,2003
160,2308
161,870
162,944
163,2994
164,1932
165,3061
166,984
167,330
168,715
169,2309
170,2626
171,2623
172,2218
173,1626
174,1582
175,1563
176,2391
177,1279
178,516
179,716
180,1793
181,2739
182,1018
183,37
184,874
185,1340
186,1119
187,2058
188,1046
189,34
190,3121
191,521
192,1241
193,1776
194,2994
195,2841
196,2419
197,32
198,965
199,1270
200,1104
201,950
202,1338
203,994
204,709
205,641
206,2847
207,1241
208,2775
209,940
210,1419
211,1020
212,416
213,2880
214,313
215,127
216,2255
217,518
218,384
219,0
220,433
221,1056
222,2557
223,898
224,2426
225,2822
226,1489
227,1530
228,847
229,2793
230,2309
231,2880
232,1084
233,294
234,1024
235,471
236,372
237,2150
238,896
239,714
240,940
241,1371
242,882
243,2145
244,140
245,1338
246,1084
247,1356
248,2344
249,535
250,2141
251,2413
252,1055
253,465
254,456
255,1326
256,294
257,2110
258,1029
259,984
260,856
261,1086
262,1131
263,636
264,1908
265,949
266,2326
267,1940
268,2347
269,24
270,2309
271,100
272,881
273,2236
274,1908
275,710
276,2062
277,2219
278,1119
279,1533
280,256
281,48
282,259
283,1564
284,2217
285,2514
286,0
287,2980
288,1117
289,1623
290,944
291,2652
292,45
293,1560
294,971
295,2478
296,725
297,253
298,1481
299,1028
300,3177
301,1260
302,2302
303,878
304,905
305,441
306,1932
307,3016
308,714
309,2793
310,3173
311,2865
312,2521
313,732
314,1489
315,521
316,2880
317,2184
318,2623
319,1512
320,1489
321,1128
322,679
323,2157
324,980
325,950
326,2548
327,1354
328,905
329,1582
330,1006
331,2554
332,218
333,1350
334,1830
335,1512
336,276
337,1
338,1221
339,2419
340,930
341,739
342,930
343,2960
344,34
345,2426
346,3028
347,1009
348,2173
349,2419
350,2182
351,2171
352,942
353,986
354,2393
355,2793
356,2830
357,959
358,3162
359,1219
360,1460
361,1575
362,832
363,86
364,2346
365,942
366,1110
367,2257
368,2880
369,421
370,3024
371,2865
372,527
373,1248
374,935
375,521
376,2421
377,1082
378,313
379,1915
380,1906
381,49
382,1936
383,2455
384,2640
385,2239
386,1253
387,3126
388,936
389,1420
390,2174
391,1514
392,99
393,2398
394,2419
395,521
396,441
397,63
398,3075
399,1563
400,1773
401,1520
402,15
403,2298
404,3186
405,1730
406,2350
407,718
408,374
409,718
410,313
411,2003
412,2521
413,2521
414,757
415,1009
416,2964
417,372
418,2049
419,0
420,1935
421,2979
422,3126
423,1134
424,954
425,704
426,1724
427,214
428,2963
429,2308
430,144
431,518
432,522
433,515
434,2568
435,2578
436,1918
437,1820
438,2706
439,979
440,3157
441,710
442,2551
443,1489
444,467
445,1690
446,1046
447,465
448,1866
449,413
450,921
451,2167
452,37
453,2709
454,2184
455,714
456,1038
457,482
458,1918
459,28
460,2487
461,1668
462,1348
463,2684
464,965
465,746
466,2584
467,267
468,707
469,2568
470,2491
471,864
472,829
473,2351
474,994
475,3123
476,3098
477,1939
478,952
479,523
480,1776
481,54
482,1128
483,3026
484,1076
485,286
486,1173
487,1993
488,574
489,1976
490,2747
491,1331
492,1457
493,3017
494,3028
495,2095
496,944
497,986
498,728
499,2256
500,679
501,1355
502,732
503,1002
504,2490
505,984
506,2555
507,2865
508,1056
509,253
510,1635
511,1016
512,34
513,1582
514,2424
515,1521
516,2473
517,2028
518,2297
519,1005
520,2413
521,966
522,729
523,421
524,1110
525,984
526,930
527,956
528,2377
529,1128
530,127
531,1813
532,1840
533,1063
534,2381
535,638
536,598
537,2037
538,1127
539,970
540,2168
541,833
542,2176
543,1530
544,1350
545,1013
546,2373
547,771
548,193
549,99
550,996
551,991
552,1809
553,755
554,2162
555,465
556,100
557,822
558,518
559,2409
560,1005
561,1532
562,1519
563,409
564,523
565,1487
566,1844
567,679
568,2568
569,1015
570,2623
571,870
572,1668
573,1043
574,1575
575,1989
576,10
577,32
578,2326
579,1372
580,2839
581,710
582,1896
583,3183
584,1481
585,0
586,2755
587,975
588,2163
589,2678
590,2158
591,2157
592,1279
593,256
594,2256
595,1305
596,943
597,2660
598,2577
599,1356
600,942
601,871
602,967
603,1355
604,2590
605,521
606,1688
607,878
608,704
609,3123
610,729
611,3186
612,2594
613,2847
614,615
615,967
616,875
617,1173
618,1009
619,720
620,802
621,2183
622,522
623,2729
624,1331
625,1483
626,1835
627,817
628,679
629,1963
630,1520
631,1022
632,521
633,876
634,1038
635,950
636,1372
637,28
638,861
639,2926
640,1849
641,3061
642,1348
643,1272
644,1560
645,225
646,1575
647,1095
648,203
649,771
650,1524
651,2569
652,2346
653,48
654,730
655,2766
656,149
657,971
658,1719
659,477
660,2306
661,661
662,63
663,1742
664,883
665,2739
666,31
667,1476
668,467
669,1908
670,928
671,1002
672,2126
673,2157
674,784
675,1020
676,276
677,1943
678,1813
679,1228
680,557
681,970
682,1221
683,710
684,2802
685,2507
686,2739
687,1211
688,1279
689,20
690,520
691,968
692,870
693,172
694,1114
695,1866
696,480
697,1902
698,1010
699,836
700,1903
701,968
702,1544
703,1117
704,1739
705,248
706,2219
707,2081
708,2827
709,2028
710,1084
711,2670
712,960
713,2173
714,2816
715,1014
716,225
717,1178
718,37
719,1237
720,2703
721,2518
722,334
723,861
724,1294
725,2564
726,480
727,2959
728,1055
729,2548
730,2684
731,1116
732,1073
733,940
734,323
735,1338
736,2866
737,1119
738,2557
739,2421
740,31
741,1011
742,903
743,2847
744,203
745,55
746,2419
747,1844
748,276
749,1526
750,848
751,2963
752,1040
753,421
754,898
755,2521
756,1014
757,1519
758,956
759,2706
760,1372
761,2297
762,1241
763,2802
764,2651
765,2864
766,2909
767,2081
768,706
769,122
770,2407
771,3061
772,909
773,961
774,139
775,2915
776,1828
777,1019
778,99
779,188
780,990
781,2567
782,2243
783,1606
784,900
785,1393
786,2956
787,789
788,3024
789,214
790,1918
791,2557
792,1608
793,954
794,960
795,490
796,935
797,604
798,2853
799,2827
800,965
801,2059
802,935
803,3024
804,2846
805,644
806,2309
807,99
808,522
809,1014
810,2651
811,2297
812,1035
813,2739
814,967
815,1526
816,1506
817,2438
818,1035
819,828
820,2861
821,1583
822,2740
823,533
824,2659
825,225
826,2880
827,3041
828,2915
829,964
830,1532
831,2558
832,3065
833,2949
834,708
835,248
836,1014
837,200
838,685
839,2
840,991
841,830
842,2481
843,984
844,2140
845,1051
846,121
847,1000
848,2114
849,1567
850,901
851,1056
852,954
853,520
854,1022
855,1869
856,2803
857,991
858,1556
859,1237
860,1844
861,2183
862,1159
863,1048
864,225
865,3065
866,870
867,909
868,2100
869,2140
870,992
871,2490
872,2028
873,2566
874,1659
875,1084
876,3156
877,478
878,1619
879,1048
880,1389
881,1667
882,994
883,2557
884,1001
885,2482
886,2829
887,376
888,138
889,2007
890,963
891,3186
892,2558
893,2419
894,64
895,2310
896,1573
897,2079
898,203
899,3175
900,1393
901,1013
902,330
903,1913
904,3010
905,1718
906,1029
907,2502
908,2514
909,1573
910,2827
911,2616
912,2297
913,471
914,256
915,881
916,1614
917,455
918,2789
919,1043
920,421
921,2584
922,2802
923,1619
924,482
925,606
926,2100
927,1005
928,2477
929,992
930,256
931,211
932,2349
933,2225
934,411
935,878
936,2706
937,2936
938,1014
939,1393
940,16
941,276
942,905
943,978
944,1157
945,13
946,710
947,32
948,574
949,2848
950,1119
951,1574
952,942
953,1525
954,533
955,1353
956,519
957,2753
958,1405
959,1075
960,736
961,1918
962,1006
963,2704
964,1003
965,1717
966,870
967,10
968,952
969,1873
970,2639
971,2195
972,2309
973,1674
974,3176
975,1279
976,725
977,1512
978,2419
979,2858
980,2553
981,2320
982,467
983,2880
984,2249
985,294
986,3186
987,1278
988,2249
989,2385
990,1907
991,95
992,1389
993,2100
994,421
995,1820
996,2419
997,3024
998,1831
999,633
1000,1235
1001,1013
1002,1976
1003,1294
1004,1324
1005,2176
1006,1251
1007,789
1008,416
1009,1742
1010,2522
1011,357
1012,705
1013,984
1014,756
1015,518
1016,2297
1017,909
1018,1014
1019,130
1020,1292
1021,2353
1022,739
1023,990
1024,2719
1025,2827
1026,988
1027,719
1028,1640
1029,3017
1030,1696
1031,563
1032,2478
1033,2066
1034,775
1035,1211
1036,2492
1037,924
1038,275
1039,2490
1040,598
1041,3005
1042,2557
1043,679
1044,1544
1045,421
1046,2793
1047,2616
1048,1338
1049,1000
1050,1840
1051,1479
1052,1489
1053,3157
1054,905
1055,875
1056,533
1057,1182
1058,99
1059,2568
1060,1623
1061,266
1062,1331
1063,710
1064,1997
1065,1862
1066,1953
1067,1907
1068,2126
1069,384
1070,525
1071,1581
1072,2521
1073,871
1074,2217
1075,1244
1076,3147
1077,1889
1078,1328
1079,9
1080,128
1081,313
1082,2880
1083,225
1084,1237
1085,878
1086,789
1087,2163
1088,1905
1089,718
1090,1381
1091,685
1092,1324
1093,2219
1094,3187
1095,1291
1096,1524
1097,1577
1098,1279
1099,101
1100,3026
1101,2171
1102,2775
1103,604
1104,121
1105,1011
1106,1574
1107,200
1108,372
1109,647
1110,615
1111,2514
1112,521
1113,1776
1114,1173
1115,2747
1116,2003
1117,2426
1118,1644
1119,730
1120,1813
1121,1099
1122,2719
1123,1032
1124,1590
1125,1253
1126,725
1127,2409
1128,1281
1129,450
1130,1348
1131,3083
1132,692
1133,2918
1134,1118
1135,2159
1136,203
1137,900
1138,2841
1139,943
1140,942
1141,31
1142,3137
1143,604
1144,813
1145,2217
1146,2865
1147,1000
1148,1044
1149,337
1150,267
1151,2249
1152,2802
1153,2617
1154,2471
1155,1143
1156,1325
1157,3113
1158,1465
1159,849
1160,666
1161,960
1162,95
1163,718
1164,957
1165,928
1166,967
1167,716
1168,3067
1169,310
1170,2620
1171,1967
1172,1237
1173,467
1174,1014
1175,1719
1176,713
1177,2630
1178,1048
1179,1582
1180,642
1181,1044
1182,757
1183,140
1184,314
1185,2549
1186,2326
1187,718
1188,473
1189,679
1190,971
1191,1076
1192,2100
1193,165
1194,2793
1195,2407
1196,1848
1197,5
1198,972
1199,1515
1200,2557
1201,1668
1202,1518
1203,229
1204,1127
1205,1014
1206,904
1207,1131
1208,45
1209,467
1210,892
1211,48
1212,518
1213,2434
1214,2567
1215,2385
1216,1294
1217,608
1218,710
1219,120
1220,873
1221,409
1222,2717
1223,225
1224,2915
1225,2217
1226,1667
1227,1820
1228,1291
1229,615
1230,1014
1231,2915
1232,2671
1233,954
1234,3062
1235,2218
1236,3077
1237,1524
1238,516
1239,449
1240,1086
1241,32
1242,1742
1243,1128
1244,2439
1245,421
1246,1932
1247,1667
1248,1698
1249,518
1250,1730
1251,2841
1252,1013
1253,1574
1254,3147
1255,2451
1256,37
1257,858
1258,3017
1259,2706
1260,2775
1261,642
1262,944
1263,1328
1264,2036
1265,489
