u,i
2269,2861
3955,1583
4949,2441
2800,2497
491,386
55,987
779,1018
3642,305
5469,1918
1083,1429
773,2701
57,1033
2734,1096
5690,574
4809,2811
3503,146
5681,2740
2566,2451
2905,1917
5735,2976
4814,122
3816,1774
5084,1703
1751,23
1883,2394
4782,1338
1902,192
1012,3067
2344,1291
219,987
4799,2473
2464,1393
1820,1291
2555,1511
4389,131
3463,1097
2525,2800
2494,1235
2898,1850
1155,2594
465,1393
5224,932
1629,1696
2047,3175
4046,142
5107,2976
1836,2174
5845,461
929,3190
4229,2478
795,746
335,2451
2105,120
5492,2036
5750,574
366,983
5457,2981
4645,851
1971,305
4660,1883
5025,1072
694,290
2626,2451
1936,1250
1191,1096
795,1096
4501,1072
4155,435
3255,2622
2346,2811
3430,933
1351,1728
2688,296
4369,2838
5057,2458
4140,2786
103,2451
843,3015
1751,2601
3272,2976
1749,1774
2215,1015
2270,722
5286,1005
5160,2586
4636,2586
959,1096
3419,2622
1234,3021
4289,2478
1579,23
2852,296
4528,2494
5023,2473
1417,2324
1350,1102
3153,409
2972,2283
441,1291
4460,266
1041,2976
4618,1606
15,2580
3003,815
4956,847
3674,2740
5513,2458
1559,1626
3203,122
3244,877
995,2981
2671,1015
4288,1098
621,296
3766,2679
1204,122
3884,456
5599,1828
4508,283
4096,1278
2002,1041
5025,2495
3846,1103
1970,2257
2417,2946
1443,2740
5679,252
5842,1182
3471,2357
1841,2786
4800,283
1905,1458
561,2473
2825,677
2212,2140
2931,1073
3507,482
4723,221
531,2981
552,1606
4535,924
3263,1253
3545,185
5159,751
1573,877
831,240
588,482
2176,2833
2823,200
4401,1109
20,964
5679,2480
1688,2520
5798,859
2785,847
5858,910
2157,1278
479,2417
4987,1583
5367,1804
630,2586
198,677
1836,1637
4645,1819
5323,751
627,2288
4851,1695
1859,308
3333,837
2767,2146
2371,2146
3390,1371
4632,833
4939,761
654,1078
5227,1393
1388,1073
3695,2357
4159,771
3973,1547
2445,1
1913,3146
5889,2451
2819,1905
2903,852
5360,2861
4398,6
196,2078
3243,920
2661,1696
4859,1532
4239,2578
5452,2800
502,283
526,677
1613,2480
1217,2480
2707,1290
3889,2199
4171,1131
2371,1341
4572,1475
2579,2044
3016,2045
5657,2451
495,2495
1610,2182
1214,2182
5505,2811
4032,972
5136,470
4002,3015
3255,1280
4755,1532
2630,1228
4908,1774
4627,1532
1265,1366
3218,2152
14,2572
2259,2978
4502,305
5837,1456
2912,1291
2535,1341
3656,2728
5273,2811
2615,546
789,1787
4588,2708
1723,2594
2313,181
5821,172
2345,2348
4421,1255
436,1110
3144,2738
532,1572
3147,757
1529,2701
2243,1290
3239,2975
2628,1131
2411,2594
3763,2194
2667,305
5468,2878
5369,2118
2160,2194
2101,833
19,2111
1569,972
1789,3190
1259,746
2599,2241
2279,2825
3531,2975
441,299
4984,1903
5921,2981
3333,1455
1194,2199
3075,665
3018,131
3085,1353
5418,1606
1655,1096
2675,3175
5132,1774
3490,2570
3944,296
3548,296
4016,2616
4436,758
5526,2078
4626,101
266,833
209,299
1857,449
3471,1015
198,140
457,1532
4502,1728
517,1583
1759,1045
5639,2894
3710,250
719,2471
600,305
3401,2878
316,546
4459,2031
4774,1103
5545,2478
3712,296
570,2348
4424,2976
3899,122
2770,2257
440,23
5861,1371
374,1655
4228,2283
1153,1393
3546,1697
2675,2370
813,1702
3322,491
3485,1421
5944,847
3977,1883
5816,847
1831,1456
91,1717
3425,589
1195,491
3500,1702
3343,964
4533,236
5051,1919
5801,2417
973,1583
675,2118
4173,1421
4193,2797
5642,1606
3147,1025
3090,491
4339,2622
1782,409
1995,1456
2375,1677
2862,1041
4023,1073
4181,2413
1208,1076
5517,3008
1348,1056
1554,932
2268,275
3321,2494
5855,3003
2142,1102
4795,771
1961,2976
2305,2786
4064,323
4540,2504
5876,847
3130,2145
3859,2520
523,1323
3411,1606
3000,574
264,2560
3750,1072
978,1903
4531,1637
520,1025
2853,1278
2080,574
3971,482
5208,1098
5462,2146
5608,1971
40,573
5303,1335
3904,1889
2863,461
1844,482
4151,2520
2289,1098
5794,1572
3213,1217
1807,1354
5635,761
996,2078
1834,3177
5853,2152
2931,1504
4113,2413
868,2832
1023,491
434,96
2266,2807
282,456
2696,1637
2639,1103
1734,2946
3454,498
3414,1099
244,1103
4382,1490
3377,1971
238,2786
892,2078
4968,833
5799,761
2941,2572
910,1903
1574,1883
3563,1572
4585,1068
1314,266
419,2797
4956,2701
4555,2357
792,1093
446,456
258,1159
3742,3008
3701,755
4886,1181
3857,514
431,2807
1155,2838
3488,3091
3801,1336
5599,299
5203,299
1223,498
1782,2182
4046,386
2019,1371
5907,1583
91,2335
1388,1504
333,2622
3390,2152
5341,2111
4945,2111
5310,546
5427,1131
296,2740
554,1278
1010,1329
645,642
4814,2594
757,1637
2720,2357
5404,181
1515,498
1947,155
572,1103
2470,2182
5436,2348
5832,2348
5243,2707
2662,2352
2259,1181
8,2458
1438,1217
727,2145
4810,2825
5915,1070
5615,1532
3029,833
3989,2861
5024,310
0,1816
3336,761
497,2622
3919,1341
5383,1182
5362,305
2999,1341
4957,2471
5353,2471
5945,131
5600,2348
4516,2728
3506,2111
5074,23
3193,833
773,1335
1392,1572
3529,1
1101,642
4681,2199
1881,982
35,847
4517,1044
786,2701
1448,1100
2286,2199
2969,1475
5023,3067
5300,1655
1033,2578
1305,822
1010,874
5697,2257
2649,3190
785,1695
1952,1572
501,1936
2399,3015
2795,3015
4450,172
5231,737
4973,2199
4100,2045
4532,1702
5194,855
4910,1096
992,2927
2446,2080
1298,1
305,1997
3039,2594
3295,305
4904,527
3354,885
1267,1819
5343,1328
5272,2616
3431,2825
1720,1572
5837,1082
1069,299
40,386
1165,761
1682,2219
2114,1876
374,2891
1036,1290
5361,1503
2613,2728
4517,589
659,2471
921,27
5186,2441
5688,2837
2047,1004
1042,1485
2482,932
4042,1235
3187,2441
1669,1583
4690,1456
5285,2797
5440,456
3658,491
573,3077
4709,2637
4714,2981
1228,305
1883,2451
823,2471
5897,1082
5321,1703
1902,249
3187,2791
3526,2257
1010,2297
2003,1055
2440,1056
4771,482
2990,742
5266,461
1219,192
3547,101
1533,1291
2092,2975
3135,1096
5817,1503
5858,1504
5686,2740
178,1393
4756,2052
3722,1041
1485,1250
5227,1637
1703,2641
3857,677
1672,1076
1013,2194
2849,1641
3074,39
3172,574
3294,2257
4222,2118
5128,877
23,1455
5216,2976
3029,296
5558,461
5257,2977
1798,2878
5091,995
3785,2494
263,161
5908,1217
493,3067
2723,2441
4032,2371
3691,2078
40,1809
5394,1935
1383,1323
257,2975
4545,677
1320,2472
2273,1831
781,2194
3453,1913
5227,482
629,2554
1718,266
1778,1071
2898,1102
3392,1637
5501,2182
456,2811
2897,877
5290,1181
219,589
1084,101
521,927
1020,2560
2544,200
3344,815
2906,589
2510,589
4838,498
2790,2858
3277,2976
4586,2906
5577,837
2996,482
5582,1181
1696,1015
3706,2335
1834,225
753,122
376,172
754,2976
1062,877
93,1015
874,1580
3059,1181
1273,1097
3455,1935
4700,160
2174,266
1778,266
1155,1041
5415,2357
1306,456
2894,2807
3353,877
5347,910
1701,985
703,2637
2450,2012
1046,2976
4781,2192
395,1703
2666,1078
4223,1110
3658,1109
332,600
4470,987
107,1421
995,1883
1877,2500
872,2981
3960,2578
1059,2807
2771,498
2807,155
5267,2435
4909,283
5445,263
806,1580
4918,746
4720,761
1366,456
5657,1085
2016,1504
713,2520
4753,120
3101,2480
5938,546
1385,1637
2012,981
4369,130
301,482
4642,1228
2076,1905
1407,2335
3957,1125
1319,236
3936,248
854,2351
4589,813
1997,299
3857,140
3244,2357
372,1072
3735,2594
3611,838
3738,2111
2764,1905
5258,3015
2049,3091
4256,761
5536,2205
481,2146
2594,181
1487,1109
4651,1290
3004,1742
989,832
2885,330
3625,140
4072,1583
4566,2872
522,1366
3194,1085
5577,1455
3720,1131
1230,140
3871,546
4329,2178
4862,2641
4810,2451
635,2182
4525,2467
2612,1110
531,1078
1902,2640
5474,172
2215,885
4018,192
1621,146
3491,1429
1741,1002
4610,1235
3667,2594
4412,1250
26,761
1552,1480
5284,1179
3935,1096
4289,2348
1799,2111
481,1341
85,1341
3015,1850
1700,1351
4059,2825
2686,2348
4869,1876
2343,1228
5123,2924
4870,2478
2160,23
1308,746
31,2983
3021,1291
3370,2199
1216,1157
3177,1804
4180,1250
2215,3113
5482,9
5578,471
1963,2111
5574,2981
4822,1656
5761,2807
954,2850
3980,3067
5912,2976
1495,3174
1185,2194
1338,3190
3131,1809
3542,589
266,1695
4753,738
2724,896
1424,1429
3463,1235
608,2563
5861,1883
3431,2451
1975,2471
5702,1072
5326,2478
381,305
5857,2114
3680,122
851,1917
2243,192
560,987
4175,101
4541,1390
4479,512
1275,932
3587,2560
5132,1831
4160,1698
5634,2981
121,1290
897,1511
3975,1918
5009,677
2113,1250
2538,490
5597,847
526,2507
3136,1348
5123,964
3046,2586
3390,2396
489,2625
1666,3190
4195,1103
3078,589
5530,3008
4903,2129
4309,1390
3913,1390
3314,307
3253,2283
3525,527
5366,1072
5762,1072
1154,1702
758,1702
2127,2437
3930,1744
4023,1935
1653,2554
3963,1103
4577,2494
2483,2257
4764,2320
549,23
1335,932
1679,742
1899,2960
5225,1217
5884,2351
618,1291
2677,2473
1977,1338
4943,1504
953,1015
3351,2417
3034,266
859,1353
2411,1041
2257,574
235,1903
70,146
4378,2634
1069,1348
3244,1015
2039,2566
1657,2272
5389,1217
5891,2367
2539,2889
383,1774
3117,2371
3776,1253
4803,1093
1341,2975
5042,1109
5823,920
2866,1971
1900,1626
2025,574
1746,1159
1620,2740
803,266
3788,482
5342,997
5011,2146
2420,1103
4820,2578
5748,2439
747,2586
1919,2807
711,677
2638,2494
3235,498
26,574
3631,498
5719,920
4253,252
2534,1390
4849,283
4814,1228
5402,2152
4270,606
2962,1278
66,1851
1005,3002
5399,1100
623,456
1849,1637
161,2088
2093,1997
4109,2351
5260,1695
1624,2458
5129,2178
4793,2983
4080,832
147,877
4223,386
2540,1181
313,2078
1485,2299
1743,837
3166,677
3818,2552
2644,1504
5597,1465
5743,1290
5407,1341
4383,1018
5164,1583
2136,539
5560,1583
4123,155
2013,1637
2854,1
5146,253
835,847
5307,1110
5861,1696
3624,1905
4842,2471
1134,1668
5544,299
5769,2861
1168,498
2694,1217
1154,2320
1623,1078
3276,1572
5552,1291
3021,299
404,1041
2903,2495
4732,771
3196,1993
5381,2348
2677,3091
4998,1829
2818,2572
1383,1217
2917,299
2354,1125
5432,1532
2393,299
3281,761
5684,2507
1045,1572
2067,1068
3939,172
4462,2199
5145,1475
5298,2471
3314,120
1910,330
1977,2306
5886,2641
5079,855
190,1997
2924,2594
3514,181
1161,1905
2641,27
4862,39
5481,1774
276,236
4223,1809
241,1935
676,1109
1051,986
5471,305
1558,2480
2141,2306
1050,761
4909,2487
1079,1
2820,2594
2792,546
4411,1456
1083,120
3655,2641
1418,2850
1788,1629
5583,896
2216,386
3074,2861
3222,2759
4397,2497
5770,722
3184,23
1501,1572
1256,987
356,3174
5836,2473
5048,737
662,248
2969,1532
3812,2975
1560,2152
4393,2728
4706,973
711,140
4976,2554
5361,2365
3895,1697
877,1341
1247,120
5827,1606
116,2182
501,1993
4634,2036
866,1182
4794,39
957,546
1743,1455
282,1131
65,2594
616,253
3518,2878
3972,2856
143,972
4623,1096
736,2240
4380,1338
1262,1532
5245,96
1361,1511
2999,2471
3195,131
3369,1250
5093,456
5580,574
5869,677
3993,1831
2162,2728
4891,2981
5183,2601
725,546
446,1131
4121,296
1588,2641
3016,573
342,27
5693,1390
839,833
1007,2861
4013,1702
5606,2145
3708,1066
5817,2365
5858,2366
655,1655
2618,3129
1030,1532
3955,1697
5781,456
4861,456
3108,512
1308,722
4071,2811
3603,491
1144,1819
4659,2981
4070,2586
2224,2451
4500,2170
4880,1637
21,1490
3414,969
4997,2976
4473,2976
3783,2529
5374,2145
1014,2877
702,1070
2433,2975
889,896
5292,2520
1472,722
4550,1883
2800,1456
3498,266
5891,570
3528,1606
1121,3124
1372,491
2824,2981
5325,1098
1839,2586
4234,307
5853,1217
1577,896
2516,2047
1339,1482
391,2497
3393,2320
2703,1873
2264,1045
2691,358
4318,1883
5906,1228
2885,574
3403,2257
2004,2811
3280,1103
5621,1217
3775,1082
3491,1323
951,969
1789,2068
2405,122
3592,2129
849,692
128,932
2192,2458
879,2786
505,101
2515,1421
3984,1606
658,1097
1277,2832
2765,815
5817,755
2735,2858
1675,2878
5839,2234
3266,2494
4818,2182
2956,1514
2734,2633
645,2740
5380,1131
5120,2520
1008,1102
5834,1109
1544,1082
4273,1335
4880,27
2256,3008
5052,1073
5870,2838
5812,761
2603,837
1754,1831
2936,2740
561,9
5824,771
3422,2633
2219,847
64,2586
5888,1695
4078,1217
3763,2145
1999,2012
1335,2786
3554,1217
5440,781
467,2976
4192,1504
3889,1695
212,1703
3603,1109
4699,746
397,1456
3542,833
3485,299
4626,1207
5001,330
5128,2357
4229,982
3159,1068
263,1641
705,2740
5115,1371
20,1883
3129,2357
5591,546
2629,1253
3116,1371
631,2976
4824,1572
1193,2679
1969,2146
568,2627
193,498
1729,2659
3904,1572
2653,2778
2209,1606
2372,2536
216,1421
312,1883
2151,847
4536,1290
4484,1100
4828,910
5079,2441
3233,2306
210,1606
4260,2146
2558,2891
5762,2471
4762,290
2582,1033
806,1637
798,995
5383,2825
2888,1490
3998,833
3545,299
4433,761
3753,248
234,2350
2870,160
3938,1
4657,3098
5090,2199
4904,2975
699,1366
1098,1637
1915,1105
2524,2906
4647,1629
5027,1096
5089,2728
316,847
3373,1131
3586,2178
563,1478
2177,2044
812,2182
3109,2778
4830,932
5418,1102
4260,1341
4234,120
4731,172
550,3121
2324,1690
3258,2497
1709,828
3844,2594
5430,1866
1737,1341
3695,2471
4801,1291
384,1489
5797,2976
4957,1804
4391,3113
5803,512
4182,2939
1568,192
4264,305
538,2306
3422,218
1835,1475
1613,2594
3022,2728
4142,2759
5642,2257
1220,2111
3605,2554
936,2352
2046,1695
5449,2616
5916,1328
5316,2272
1276,3174
4285,1532
3199,1085
47,1695
5747,2458
4508,1015
5117,2062
5099,1456
3468,2441
4192,2472
5749,2504
947,2891
702,2306
3009,1338
4067,491
4246,2708
5684,1328
238,859
4438,2878
4,1217
5642,1102
5,1819
3021,1348
4203,2257
4979,2478
4855,722
4643,2529
5584,1097
2714,639
1530,3067
4491,2889
5284,81
3236,2441
1658,1532
243,1583
3892,1025
298,1290
1366,1131
2456,2451
1888,2933
1351,2728
3474,2205
5896,995
3411,1102
5379,2920
5085,2473
4030,2837
2437,896
2590,1138
4436,2027
2538,1702
2352,2478
4642,1903
1383,2616
4330,96
1310,3077
66,1290
1993,101
5415,1072
659,1804
4169,2622
1937,3175
2472,301
4141,574
3184,2227
2864,2811
4263,2257
2000,491
4361,2792
749,1697
3056,2981
3452,2981
5112,482
3394,2976
2743,1703
334,2394
592,932
3319,358
5462,487
2411,1903
2292,491
4286,1278
1703,96
801,1456
2759,2586
3908,1103
5119,498
4398,738
1910,574
3405,482
1104,2396
2897,1015
975,296
2716,2889
4829,924
1692,2566
5584,2520
2800,1082
279,1532
5136,852
36,1774
2987,908
4270,2623
1936,2145
809,1697
3517,1073
616,1302
4665,2371
1513,2981
1726,995
3627,837
270,1015
2634,2833
3785,2177
3403,1883
1704,2145
344,1903
3654,2633
5139,1099
383,1831
727,1641
1276,2637
818,1005
3708,2115
778,1606
1898,1637
3312,2115
4828,2146
249,2016
3215,2182
4320,1181
3447,1027
434,1015
2707,1217
1029,2356
1027,2283
5437,160
5530,1105
3069,1606
920,908
3607,2413
3941,1535
680,1421
2134,574
1891,816
1070,1606
2909,570
4718,1577
2538,2320
7,1328
4088,1181
1106,482
5056,1572
1821,2679
345,1323
2962,1335
3281,2778
2524,1109
2742,2500
844,1421
1682,2520
5672,757
3547,1207
2528,1228
1148,2586
4828,1341
468,2827
311,2089
5192,305
5754,1506
4230,833
1299,2351
5690,932
289,236
2966,299
4492,1018
5144,2866
4748,2866
4115,2199
5326,2348
2738,822
1277,498
1620,837
2735,524
2611,2178
3268,987
3266,160
5072,896
1770,781
4160,1568
842,920
3569,1100
3655,120
4719,2471
5118,490
732,1
5398,2759
2720,2471
4215,2379
1983,2178
111,822
3600,3015
5426,1774
5431,2118
3782,2497
1134,920
3770,982
4207,983
2157,1018
1035,160
3430,1291
190,2054
472,986
2862,1773
5011,2471
2841,896
194,2927
5607,250
4927,491
1646,1253
5192,1728
2488,2471
5915,1534
5595,2118
3112,3052
5132,896
902,920
279,1695
3574,639
1881,746
3071,18
2224,1085
3354,1804
763,761
1976,983
2387,2769
3903,2800
5615,491
3166,2507
4276,1096
1843,1393
4752,1025
4520,1456
4814,1903
2405,2594
5335,851
3150,1250
579,1583
5772,1606
4056,9
4558,1159
2619,833
1815,2728
10,2594
287,1182
4148,2981
5483,722
722,1110
1713,2451
1028,2348
472,181
372,2983
3266,1583
3961,122
788,2861
4852,101
96,833
4361,995
658,536
1484,120
90,1018
5778,266
3603,1353
683,1532
2548,2471
