Users: 5950, Items: 3191
train 417,940 | val 43,664 | test 112,381
Epoch 01 | 15.6s | TrainLoss 0.4199 | ValLoss 0.3712 | P@10 0.0300 R@10 0.0497 NDCG@10 0.0448
Epoch 02 | 15.1s | TrainLoss 0.3066 | ValLoss 0.3647 | P@10 0.0297 R@10 0.0502 NDCG@10 0.0447
Epoch 03 | 15.1s | TrainLoss 0.2981 | ValLoss 0.3625 | P@10 0.0296 R@10 0.0492 NDCG@10 0.0444
Epoch 04 | 14.8s | TrainLoss 0.2946 | ValLoss 0.3666 | P@10 0.0295 R@10 0.0499 NDCG@10 0.0445
Epoch 05 | 14.8s | TrainLoss 0.2928 | ValLoss 0.3559 | P@10 0.0297 R@10 0.0500 NDCG@10 0.0446
Epoch 06 | 14.5s | TrainLoss 0.2881 | ValLoss 0.3458 | P@10 0.0296 R@10 0.0494 NDCG@10 0.0446
Epoch 07 | 14.5s | TrainLoss 0.2853 | ValLoss 0.3512 | P@10 0.0296 R@10 0.0498 NDCG@10 0.0447
Epoch 08 | 14.6s | TrainLoss 0.2829 | ValLoss 0.3429 | P@10 0.0302 R@10 0.0510 NDCG@10 0.0453
Epoch 09 | 14.5s | TrainLoss 0.2747 | ValLoss 0.3299 | P@10 0.0310 R@10 0.0535 NDCG@10 0.0467
Epoch 10 | 14.8s | TrainLoss 0.2632 | ValLoss 0.3236 | P@10 0.0321 R@10 0.0555 NDCG@10 0.0479
Epoch 11 | 14.7s | TrainLoss 0.2528 | ValLoss 0.3072 | P@10 0.0324 R@10 0.0576 NDCG@10 0.0489
Epoch 12 | 14.4s | TrainLoss 0.2431 | ValLoss 0.3072 | P@10 0.0330 R@10 0.0597 NDCG@10 0.0498
Epoch 13 | 14.3s | TrainLoss 0.2347 | ValLoss 0.3058 | P@10 0.0328 R@10 0.0600 NDCG@10 0.0500
Epoch 14 | 14.4s | TrainLoss 0.2301 | ValLoss 0.2936 | P@10 0.0331 R@10 0.0613 NDCG@10 0.0507
Epoch 15 | 14.4s | TrainLoss 0.2255 | ValLoss 0.2888 | P@10 0.0335 R@10 0.0637 NDCG@10 0.0525
Epoch 16 | 14.3s | TrainLoss 0.2185 | ValLoss 0.2872 | P@10 0.0341 R@10 0.0643 NDCG@10 0.0539
Epoch 17 | 14.4s | TrainLoss 0.2130 | ValLoss 0.2884 | P@10 0.0346 R@10 0.0658 NDCG@10 0.0552
Epoch 18 | 14.5s | TrainLoss 0.2084 | ValLoss 0.2786 | P@10 0.0352 R@10 0.0674 NDCG@10 0.0563
Epoch 19 | 14.4s | TrainLoss 0.2040 | ValLoss 0.2775 | P@10 0.0355 R@10 0.0687 NDCG@10 0.0572
Epoch 20 | 14.4s | TrainLoss 0.1979 | ValLoss 0.2696 | P@10 0.0358 R@10 0.0695 NDCG@10 0.0575
Epoch 21 | 14.4s | TrainLoss 0.1943 | ValLoss 0.2657 | P@10 0.0364 R@10 0.0712 NDCG@10 0.0590
Epoch 22 | 14.4s | TrainLoss 0.1887 | ValLoss 0.2696 | P@10 0.0367 R@10 0.0724 NDCG@10 0.0593
Epoch 23 | 14.4s | TrainLoss 0.1852 | ValLoss 0.2699 | P@10 0.0367 R@10 0.0721 NDCG@10 0.0591
Epoch 24 | 14.5s | TrainLoss 0.1819 | ValLoss 0.2603 | P@10 0.0369 R@10 0.0734 NDCG@10 0.0599
Epoch 25 | 14.5s | TrainLoss 0.1797 | ValLoss 0.2584 | P@10 0.0370 R@10 0.0744 NDCG@10 0.0604
Epoch 26 | 14.4s | TrainLoss 0.1754 | ValLoss 0.2576 | P@10 0.0375 R@10 0.0764 NDCG@10 0.0608
Epoch 27 | 14.4s | TrainLoss 0.1729 | ValLoss 0.2597 | P@10 0.0378 R@10 0.0765 NDCG@10 0.0611
Epoch 28 | 14.5s | TrainLoss 0.1695 | ValLoss 0.2499 | P@10 0.0378 R@10 0.0769 NDCG@10 0.0612
Epoch 29 | 14.6s | TrainLoss 0.1665 | ValLoss 0.2501 | P@10 0.0380 R@10 0.0769 NDCG@10 0.0614
Epoch 30 | 14.5s | TrainLoss 0.1656 | ValLoss 0.2437 | P@10 0.0384 R@10 0.0782 NDCG@10 0.0619
Epoch 31 | 14.4s | TrainLoss 0.1622 | ValLoss 0.2502 | P@10 0.0382 R@10 0.0778 NDCG@10 0.0623
Epoch 32 | 14.4s | TrainLoss 0.1596 | ValLoss 0.2452 | P@10 0.0385 R@10 0.0791 NDCG@10 0.0625
Epoch 33 | 14.8s | TrainLoss 0.1572 | ValLoss 0.2424 | P@10 0.0388 R@10 0.0803 NDCG@10 0.0631
Epoch 34 | 14.4s | TrainLoss 0.1554 | ValLoss 0.2463 | P@10 0.0390 R@10 0.0810 NDCG@10 0.0634
Epoch 35 | 14.4s | TrainLoss 0.1527 | ValLoss 0.2430 | P@10 0.0387 R@10 0.0804 NDCG@10 0.0630
Epoch 36 | 14.4s | TrainLoss 0.1511 | ValLoss 0.2383 | P@10 0.0388 R@10 0.0823 NDCG@10 0.0634
Epoch 37 | 14.4s | TrainLoss 0.1496 | ValLoss 0.2389 | P@10 0.0393 R@10 0.0831 NDCG@10 0.0642
Epoch 38 | 14.6s | TrainLoss 0.1470 | ValLoss 0.2399 | P@10 0.0395 R@10 0.0835 NDCG@10 0.0647
Epoch 39 | 14.9s | TrainLoss 0.1455 | ValLoss 0.2379 | P@10 0.0393 R@10 0.0840 NDCG@10 0.0644
Epoch 40 | 14.9s | TrainLoss 0.1448 | ValLoss 0.2366 | P@10 0.0393 R@10 0.0841 NDCG@10 0.0645
Epoch 41 | 15.1s | TrainLoss 0.1431 | ValLoss 0.2314 | P@10 0.0393 R@10 0.0848 NDCG@10 0.0647
Epoch 42 | 14.8s | TrainLoss 0.1415 | ValLoss 0.2367 | P@10 0.0393 R@10 0.0840 NDCG@10 0.0646
Epoch 43 | 14.7s | TrainLoss 0.1394 | ValLoss 0.2335 | P@10 0.0391 R@10 0.0847 NDCG@10 0.0648
Epoch 44 | 14.8s | TrainLoss 0.1376 | ValLoss 0.2344 | P@10 0.0394 R@10 0.0847 NDCG@10 0.0648
Epoch 45 | 16.1s | TrainLoss 0.1365 | ValLoss 0.2321 | P@10 0.0395 R@10 0.0863 NDCG@10 0.0653
Epoch 46 | 15.4s | TrainLoss 0.1351 | ValLoss 0.2257 | P@10 0.0394 R@10 0.0855 NDCG@10 0.0653
Epoch 47 | 14.8s | TrainLoss 0.1341 | ValLoss 0.2288 | P@10 0.0393 R@10 0.0856 NDCG@10 0.0657
Epoch 48 | 14.6s | TrainLoss 0.1316 | ValLoss 0.2332 | P@10 0.0397 R@10 0.0865 NDCG@10 0.0661
Epoch 49 | 15.2s | TrainLoss 0.1317 | ValLoss 0.2230 | P@10 0.0398 R@10 0.0873 NDCG@10 0.0665
Epoch 50 | 14.8s | TrainLoss 0.1309 | ValLoss 0.2256 | P@10 0.0396 R@10 0.0877 NDCG@10 0.0665
Epoch 51 | 15.2s | TrainLoss 0.1290 | ValLoss 0.2275 | P@10 0.0398 R@10 0.0886 NDCG@10 0.0670
Epoch 52 | 15.5s | TrainLoss 0.1284 | ValLoss 0.2265 | P@10 0.0401 R@10 0.0892 NDCG@10 0.0676
Epoch 53 | 15.5s | TrainLoss 0.1271 | ValLoss 0.2293 | P@10 0.0401 R@10 0.0894 NDCG@10 0.0674
Epoch 54 | 15.3s | TrainLoss 0.1266 | ValLoss 0.2270 | P@10 0.0401 R@10 0.0889 NDCG@10 0.0673
Epoch 55 | 14.7s | TrainLoss 0.1258 | ValLoss 0.2318 | P@10 0.0403 R@10 0.0895 NDCG@10 0.0676
Epoch 56 | 15.0s | TrainLoss 0.1258 | ValLoss 0.2265 | P@10 0.0403 R@10 0.0904 NDCG@10 0.0677
Epoch 57 | 14.9s | TrainLoss 0.1247 | ValLoss 0.2237 | P@10 0.0401 R@10 0.0906 NDCG@10 0.0680
Epoch 58 | 14.4s | TrainLoss 0.1231 | ValLoss 0.2235 | P@10 0.0401 R@10 0.0910 NDCG@10 0.0683
Epoch 59 | 14.7s | TrainLoss 0.1227 | ValLoss 0.2290 | P@10 0.0405 R@10 0.0916 NDCG@10 0.0686
Epoch 60 | 15.5s | TrainLoss 0.1226 | ValLoss 0.2269 | P@10 0.0403 R@10 0.0910 NDCG@10 0.0682
Epoch 61 | 15.2s | TrainLoss 0.1208 | ValLoss 0.2282 | P@10 0.0405 R@10 0.0919 NDCG@10 0.0690
Epoch 62 | 15.3s | TrainLoss 0.1205 | ValLoss 0.2222 | P@10 0.0406 R@10 0.0931 NDCG@10 0.0693
Epoch 63 | 15.0s | TrainLoss 0.1195 | ValLoss 0.2233 | P@10 0.0410 R@10 0.0942 NDCG@10 0.0699
Epoch 64 | 14.9s | TrainLoss 0.1191 | ValLoss 0.2254 | P@10 0.0409 R@10 0.0937 NDCG@10 0.0696
Epoch 65 | 14.7s | TrainLoss 0.1186 | ValLoss 0.2254 | P@10 0.0411 R@10 0.0937 NDCG@10 0.0696
Epoch 66 | 14.5s | TrainLoss 0.1177 | ValLoss 0.2222 | P@10 0.0410 R@10 0.0939 NDCG@10 0.0698
Epoch 67 | 14.7s | TrainLoss 0.1164 | ValLoss 0.2200 | P@10 0.0414 R@10 0.0949 NDCG@10 0.0702
Epoch 68 | 14.6s | TrainLoss 0.1167 | ValLoss 0.2228 | P@10 0.0411 R@10 0.0935 NDCG@10 0.0699
Epoch 69 | 14.8s | TrainLoss 0.1156 | ValLoss 0.2230 | P@10 0.0412 R@10 0.0939 NDCG@10 0.0701
Epoch 70 | 15.2s | TrainLoss 0.1140 | ValLoss 0.2184 | P@10 0.0410 R@10 0.0938 NDCG@10 0.0699
Epoch 71 | 15.0s | TrainLoss 0.1149 | ValLoss 0.2231 | P@10 0.0409 R@10 0.0936 NDCG@10 0.0700
Epoch 72 | 15.0s | TrainLoss 0.1137 | ValLoss 0.2221 | P@10 0.0410 R@10 0.0943 NDCG@10 0.0704
Epoch 73 | 14.8s | TrainLoss 0.1140 | ValLoss 0.2173 | P@10 0.0411 R@10 0.0938 NDCG@10 0.0703
Epoch 74 | 14.8s | TrainLoss 0.1130 | ValLoss 0.2193 | P@10 0.0411 R@10 0.0948 NDCG@10 0.0705
Epoch 75 | 14.8s | TrainLoss 0.1127 | ValLoss 0.2246 | P@10 0.0411 R@10 0.0945 NDCG@10 0.0705
Epoch 76 | 14.9s | TrainLoss 0.1114 | ValLoss 0.2215 | P@10 0.0414 R@10 0.0962 NDCG@10 0.0709
Epoch 77 | 15.1s | TrainLoss 0.1111 | ValLoss 0.2217 | P@10 0.0417 R@10 0.0959 NDCG@10 0.0712
Epoch 78 | 15.2s | TrainLoss 0.1098 | ValLoss 0.2191 | P@10 0.0420 R@10 0.0975 NDCG@10 0.0717
Epoch 79 | 14.6s | TrainLoss 0.1100 | ValLoss 0.2239 | P@10 0.0418 R@10 0.0981 NDCG@10 0.0717
Epoch 80 | 14.5s | TrainLoss 0.1095 | ValLoss 0.2211 | P@10 0.0418 R@10 0.0978 NDCG@10 0.0717
Epoch 81 | 14.5s | TrainLoss 0.1083 | ValLoss 0.2188 | P@10 0.0419 R@10 0.0984 NDCG@10 0.0718
Epoch 82 | 14.6s | TrainLoss 0.1082 | ValLoss 0.2230 | P@10 0.0415 R@10 0.0979 NDCG@10 0.0717
Epoch 83 | 14.6s | TrainLoss 0.1076 | ValLoss 0.2206 | P@10 0.0419 R@10 0.0987 NDCG@10 0.0722
Epoch 84 | 14.7s | TrainLoss 0.1069 | ValLoss 0.2195 | P@10 0.0421 R@10 0.0993 NDCG@10 0.0726
Epoch 85 | 14.5s | TrainLoss 0.1065 | ValLoss 0.2196 | P@10 0.0419 R@10 0.0990 NDCG@10 0.0721
Epoch 86 | 14.6s | TrainLoss 0.1067 | ValLoss 0.2190 | P@10 0.0419 R@10 0.0994 NDCG@10 0.0726
Epoch 87 | 14.4s | TrainLoss 0.1058 | ValLoss 0.2178 | P@10 0.0421 R@10 0.0993 NDCG@10 0.0729
Epoch 88 | 14.6s | TrainLoss 0.1044 | ValLoss 0.2254 | P@10 0.0420 R@10 0.0999 NDCG@10 0.0730
Epoch 89 | 14.7s | TrainLoss 0.1042 | ValLoss 0.2178 | P@10 0.0420 R@10 0.1000 NDCG@10 0.0731
Epoch 90 | 14.8s | TrainLoss 0.1044 | ValLoss 0.2230 | P@10 0.0424 R@10 0.1004 NDCG@10 0.0731
Epoch 91 | 14.7s | TrainLoss 0.1045 | ValLoss 0.2198 | P@10 0.0424 R@10 0.1003 NDCG@10 0.0734
