u,i
0,19
0,17
0,2
0,3
0,11
0,10
0,9
0,14
0,15
0,7
0,4
1,19
1,18
1,16
1,1
1,0
1,2
1,3
1,8
1,9
1,12
1,14
1,15
1,6
1,5
2,18
2,17
2,2
2,3
2,11
2,10
2,8
2,9
2,15
2,7
3,18
3,17
3,1
3,2
3,3
3,11
3,10
3,8
3,12
3,15
3,7
3,4
4,19
4,18
4,1
4,2
4,10
4,8
4,9
4,12
4,15
4,7
4,6
0,38
0,30
0,28
0,33
0,32
0,35
0,26
0,24
0,25
1,39
1,36
1,37
1,21
1,22
1,23
1,31
1,30
1,28
1,29
1,33
1,32
1,34
1,26
1,24
1,25
2,39
2,38
2,37
2,21
2,20
2,23
2,32
2,24
3,36
3,21
3,22
3,23
3,30
3,34
3,35
3,27
3,26
4,39
4,38
4,31
4,28
4,33
4,32
4,34
4,35
4,27
4,26
4,24
0,58
0,56
0,40
0,42
0,43
0,50
0,49
0,52
0,54
0,55
0,46
1,57
1,41
1,42
1,43
1,49
1,53
1,54
1,55
1,46
1,44
2,59
2,58
2,56
2,41
2,42
2,43
2,49
2,52
2,55
2,47
2,46
2,44
3,56
3,57
3,41
3,42
3,43
3,50
3,53
3,52
3,54
3,55
3,44
3,45
4,59
4,56
4,41
4,43
4,50
4,49
4,52
4,47
4,46
4,44
4,45
0,79
0,77
0,61
0,60
0,62
0,73
0,72
0,74
0,67
0,65
1,60
1,63
1,71
1,68
1,69
1,73
1,72
1,74
1,66
2,79
2,78
2,76
2,77
2,61
2,60
2,70
2,68
2,69
2,72
2,74
2,75
2,66
2,65
3,71
3,70
3,68
3,69
3,72
3,74
3,66
3,65
4,78
4,62
4,63
4,71
4,68
4,74
4,67
4,64
0,99
0,96
0,81
0,82
0,91
0,94
0,87
0,86
0,84
0,85
1,99
1,98
1,81
1,82
1,83
1,91
1,88
1,89
1,93
1,92
1,94
1,95
1,84
1,85
2,81
2,82
2,90
2,88
2,95
2,87
2,85
3,99
3,98
3,97
3,81
3,82
3,83
3,92
3,94
3,95
4,99
4,96
4,81
4,83
4,93
4,94
4,87
4,84
