u,i
0,523
2,1228
2,2769
3,1518
3,978
6,2514
6,379
6,1228
6,5
6,1241
6,1221
8,2218
8,1907
8,211
8,1903
8,1292
8,2163
8,193
8,2419
9,1976
10,329
14,138
17,2450
17,1695
17,321
21,1810
22,1523
23,2974
23,2659
23,1114
23,1419
23,3061
23,286
25,2684
25,992
25,704
25,753
25,752
26,852
26,704
26,16
32,2247
32,1001
32,1692
34,20
36,1684
36,217
37,2078
37,2059
37,1203
37,2159
37,2216
37,2284
40,1098
40,1338
40,830
40,2111
40,674
40,1919
41,2184
42,1235
42,821
43,722
44,1544
44,1534
44,323
52,2824
52,1022
52,2949
52,980
54,15
54,374
54,892
54,1903
54,1291
56,615
56,1810
56,1018
56,960
56,2310
56,2111
56,1581
56,942
56,31
57,2373
62,1403
62,606
70,1244
70,1437
70,1443
72,1252
72,814
78,1004
78,781
81,1326
82,2675
84,2377
85,732
90,2421
90,1018
90,101
93,2505
93,2512
93,1527
93,990
93,127
93,1037
93,2204
93,1522
93,1325
93,1116
93,971
94,1511
94,757
94,761
94,751
100,1221
100,82
100,336
100,1228
102,2936
103,704
103,720
103,1040
103,722
103,734
103,666
103,1512
103,852
103,2946
103,438
107,1765
107,45
107,1903
107,2037
107,870
108,314
108,49
108,1421
110,2659
110,2830
110,1221
111,825
111,817
112,2659
115,1918
119,493
119,1519
119,1385
119,2637
119,966
119,101
119,2511
119,1147
119,99
120,973
126,493
126,1385
126,40
126,434
128,2477
128,139
128,1873
136,28
136,2421
139,523
142,259
144,2514
144,1569
144,138
144,379
144,1228
145,490
146,248
146,1479
146,1361
146,1903
146,2511
146,20
147,244
147,2507
147,875
147,2512
151,1907
151,1835
156,2184
156,1989
157,1037
157,2477
157,2398
157,1354
157,474
157,1258
157,789
157,1831
157,877
157,933
157,921
157,1082
157,456
157,2478
158,1228
159,1479
161,1064
161,1809
169,992
172,2247
172,2456
172,1884
172,2017
175,2505
175,1527
175,1522
175,2204
175,990
177,1965
177,1915
177,1179
177,968
178,1489
178,1837
178,385
178,95
180,1695
181,336
186,2511
186,2750
186,2949
186,966
188,15
188,1844
188,2512
188,376
188,127
188,2616
188,449
188,1292
188,374
188,1179
188,1489
188,2622
188,1206
188,20
188,519
200,138
204,1810
205,82
205,1385
205,1181
205,1685
205,1397
205,1335
205,1420
205,1849
208,1569
208,2034
210,1653
210,1221
211,2778
215,1051
218,2246
218,1186
218,1102
218,1850
219,1840
220,1482
221,1866
221,2505
221,2750
221,2247
221,1830
221,1774
221,1702
221,1037
221,1708
221,1659
221,971
221,2249
222,201
222,2425
223,2659
223,2830
223,2847
223,2827
226,942
230,1623
230,1032
231,127
231,99
231,0
231,942
232,10
232,1355
233,2518
233,1831
233,2360
234,200
234,935
234,37
234,54
234,16
236,1809
236,2977
236,1996
237,1206
237,987
238,896
238,2701
238,1022
238,2949
238,1872
238,1667
240,615
244,1918
244,966
252,243
252,2255
252,1285
252,397
254,1324
254,1482
254,643
254,1421
255,1888
255,1385
255,1147
255,1241
255,407
255,2769
255,101
255,520
256,2512
256,211
256,2616
256,1844
256,374
256,2505
256,1409
256,892
256,1903
256,449
256,871
256,1292
256,789
256,2719
257,1486
257,1419
258,299
258,2701
258,1029
258,1456
258,314
258,1667
258,1872
260,2472
269,2218
272,2218
272,99
272,1116
273,1064
273,899
273,2137
273,2117
273,2241
275,2824
275,727
276,1082
276,1354
277,1260
281,1671
281,45
281,1903
281,2719
292,986
292,1581
296,1907
296,127
296,2163
296,1908
296,193
296,1489
296,0
296,1840
296,1206
296,2065
297,385
297,1206
297,2466
302,2684
302,1511
302,732
302,751
302,781
302,777
302,2192
302,2665
302,1503
302,704
302,2789
303,1029
303,971
304,138
304,127
304,1244
304,968
304,1119
304,2218
304,421
304,519
304,1285
304,1793
309,1511
309,732
309,777
309,867
311,1571
311,1098
311,1101
311,1096
311,1905
312,871
312,1522
312,1773
312,1866
312,1325
312,1037
312,1831
312,2478
312,2293
312,971
314,1671
314,1290
314,2512
314,244
314,1421
314,211
314,1409
320,579
321,1866
321,2824
321,1022
321,2247
321,856
321,1702
321,1708
322,2496
322,1865
323,1385
326,1421
331,2974
331,1419
331,830
331,1766
331,1098
331,674
331,1390
333,10
333,6
333,138
333,1355
333,314
334,2537
334,2586
344,127
344,1173
344,467
344,1116
344,679
344,2505
344,138
344,1010
345,1228
347,892
355,1636
355,572
355,2807
362,2373
362,921
362,1773
363,849
363,15
363,1765
364,2247
365,2182
365,2558
365,2079
365,1869
365,1991
366,987
366,909
366,1804
366,2037
366,1667
366,385
366,152
366,110
366,631
366,2079
367,1403
367,1451
367,1486
368,1569
368,2514
368,379
368,1228
368,1181
368,400
369,2353
369,2381
369,1010
370,1324
370,244
370,1844
370,374
371,2739
371,2065
371,2657
372,1032
372,870
372,2511
375,1907
375,95
375,1489
375,193
375,2163
381,1713
383,1325
383,1523
383,2478
383,2518
383,2564
383,2360
383,2293
383,2350
385,1717
390,1489
390,1850
391,200
391,935
392,1918
392,1031
393,2511
393,1429
393,20
395,990
395,2246
397,49
397,385
397,110
398,1228
398,379
398,1685
401,1355
401,1280
401,2507
401,519
401,2505
401,990
404,849
404,15
404,1844
404,1765
404,376
404,1361
404,374
404,1206
404,1489
404,5
404,385
404,2505
404,1179
404,892
406,921
407,1918
408,294
408,2512
408,2505
408,1527
408,1116
408,1328
408,2622
408,2507
413,1228
413,1403
413,1685
413,1270
417,1809
419,1002
419,1810
419,2133
419,1022
419,960
420,1314
420,1702
420,1883
420,2862
420,1708
422,3176
422,1962
425,704
425,2504
426,1568
426,28
426,2568
426,3061
426,1372
430,2769
431,1719
432,2353
432,2484
433,1620
433,1574
436,1573
436,1098
436,1096
437,2247
437,1041
437,413
437,385
440,2659
440,1221
440,1962
443,2184
445,979
446,1511
446,732
446,777
448,1022
448,2750
448,2243
448,966
448,942
448,0
448,1872
448,1730
448,32
450,722
450,753
450,1013
450,2472
451,942
452,376
452,1361
452,1179
452,248
452,968
452,1489
457,1919
457,1573
457,1102
457,1653
457,2111
457,942
457,1574
458,2824
458,757
458,2778
465,2472
466,2446
467,28
467,1372
470,1888
472,2769
472,1031
472,947
472,1519
472,1581
474,1976
481,294
481,305
481,1159
491,3020
491,1244
491,421
491,3061
493,732
495,816
495,2296
500,1221
501,2145
501,2657
503,2088
503,946
505,572
513,1296
513,1332
516,2825
516,2789
518,1022
518,2824
518,2398
518,1048
518,2750
518,861
518,905
519,1324
519,1173
519,45
519,2382
521,1581
521,964
521,2635
523,1684
523,10
523,1389
523,318
524,100
524,2188
524,1016
525,1810
525,28
525,960
525,2878
525,946
527,1487
527,1963
527,28
528,968
530,1906
530,1851
530,2555
535,63
536,818
536,0
536,1026
536,98
546,200
546,1866
546,1044
546,1522
546,294
546,1328
546,789
546,1671
546,2477
546,921
546,877
546,933
546,456
546,1085
546,2398
550,3024
551,1639
551,2729
551,1661
551,1658
551,821
551,1655
551,823
551,721
551,806
552,1372
552,960
552,1305
553,1527
553,1522
553,877
553,1328
567,1018
568,1653
568,1419
568,830
568,1451
570,1206
570,1179
570,15
570,1173
570,20
570,1371
571,2037
572,2247
574,2629
578,1372
578,571
578,1018
579,615
579,960
579,1809
581,16
581,1040
581,2477
581,957
581,935
581,2398
581,1773
581,643
581,980
581,789
582,2037
582,32
582,1159
582,1840
584,2267
590,1835
590,201
595,1338
595,1809
595,2029
596,648
600,2002
602,1372
602,1119
602,1451
603,615
603,1522
603,1037
604,1908
604,99
606,1527
606,976
606,933
606,932
606,1044
607,2450
607,1695
607,12
608,2473
608,947
608,2936
608,775
608,1016
608,1047
608,1031
608,1048
608,1519
608,2949
609,993
613,1456
616,2421
617,947
617,986
617,2505
617,1519
617,1046
623,666
623,921
623,438
623,722
623,1325
624,878
624,2750
624,2267
624,940
624,971
624,949
624,944
624,2243
624,856
624,1325
624,2728
624,1010
624,1051
625,1653
625,1221
625,830
625,336
625,1390
625,1451
625,160
627,1655
627,1658
627,825
627,1336
636,2171
636,1993
636,2178
636,2059
636,2385
636,2284
636,2558
639,2473
639,2769
639,2476
639,1016
641,2419
641,2079
641,2342
641,2157
643,379
643,1564
644,1022
644,1518
645,82
645,2797
645,1285
647,1569
647,138
647,1228
647,458
647,400
648,957
649,757
649,732
649,734
649,705
649,725
652,2204
652,2518
652,990
658,218
658,354
658,237
658,1656
658,899
658,2137
659,200
659,268
662,385
664,2446
664,2298
669,648
669,188
669,199
670,2586
673,2167
673,1524
673,1575
673,2065
673,898
673,2218
673,193
674,825
674,1695
674,1336
675,965
675,2188
676,2514
676,1569
676,1228
676,138
676,1397
676,1335
678,2865
678,2827
681,1493
683,2247
683,990
683,878
683,1659
683,2249
683,1774
683,1976
683,856
685,138
685,2719
685,1479
685,1331
685,15
685,48
685,870
685,1119
687,1835
689,978
689,2298
689,615
689,921
689,963
690,1866
690,1522
690,1037
690,1527
690,1044
690,877
690,1830
690,1831
690,2478
690,2694
690,2204
691,961
691,945
691,1487
691,952
691,28
694,393
695,1518
703,248
703,1206
703,1456
