u,i
0,1351
0,1867
0,749
0,2002
0,3130
0,758
1,2584
1,862
1,2887
1,2713
1,2198
2,1651
2,299
3,1878
3,1584
3,2626
3,2935
4,2357
4,1457
4,1461
4,529
4,985
5,225
5,2855
5,1645
6,2348
6,339
6,540
6,2049
7,525
7,165
7,2728
7,2059
7,2712
7,550
8,3150
8,297
8,178
8,3124
9,2316
9,2992
9,1086
9,2137
9,1647
9,1095
9,144
10,505
10,1989
11,1528
11,2397
11,2334
11,2297
11,2110
12,2031
12,1086
12,520
12,2206
13,982
13,971
13,2263
14,1957
14,1777
14,1799
14,673
14,1915
15,2677
15,1584
15,1836
16,2866
16,480
16,1348
17,756
17,1443
18,2179
18,2806
18,2989
18,2058
18,2233
18,2622
19,636
19,1907
19,1889
19,2825
20,2217
20,1836
20,1719
20,2482
20,1011
20,1673
20,1364
21,2532
21,1272
21,2482
21,2750
21,519
21,514
21,1623
22,824
22,1311
22,2622
22,963
22,2555
22,2462
23,231
23,2055
23,1337
23,22
23,1010
24,2759
24,2622
24,1303
24,1787
25,1925
25,2855
25,2927
25,845
25,256
26,751
26,2349
26,480
26,1830
28,1412
28,1394
28,1802
29,2
29,903
29,2934
29,2806
30,2742
30,384
30,2355
30,1336
30,2488
30,3116
31,2242
31,2268
31,3004
31,2614
31,3024
32,2521
32,329
32,3097
32,2413
32,1781
33,2502
33,587
33,2738
33,2958
33,0
33,520
33,1082
34,3172
34,663
34,1932
34,245
34,1397
34,1866
35,3042
35,1685
35,1713
35,632
36,1919
36,2829
36,983
36,2989
37,2240
37,2698
37,2750
38,1074
38,2125
38,1590
39,365
39,2630
39,1907
39,994
39,1464
40,1285
40,1623
40,734
40,1882
40,2171
40,1923
41,1276
41,2061
41,1661
41,1340
42,727
42,237
43,756
43,2592
43,2640
44,1847
44,3104
44,567
44,3177
45,3017
45,1027
45,704
45,3024
45,720
45,2764
46,1655
46,721
46,99
46,2089
47,736
47,1085
47,2622
47,1921
47,879
47,2393
47,1845
47,514
48,3131
48,962
48,1829
48,1113
48,1253
48,2657
48,1280
49,1279
49,438
49,3190
49,2015
50,1855
50,146
50,463
50,313
51,2376
51,1114
51,1563
52,873
52,2095
52,1048
52,2630
53,1347
53,2793
53,270
53,1071
54,1179
54,1838
54,2085
54,2397
54,1919
55,911
55,2049
55,1896
55,3175
55,870
56,1577
56,968
56,2317
56,1066
57,3012
57,2366
57,2020
57,2495
