user_id,time_step,recommended_item
0,0,19
0,0,18
0,0,16
0,0,17
0,0,1
0,0,0
0,0,2
0,0,3
0,0,11
0,0,10
0,0,8
0,0,9
0,0,13
0,0,12
0,0,14
0,0,15
0,0,7
0,0,6
0,0,4
0,0,5
1,0,19
1,0,18
1,0,16
1,0,17
1,0,1
1,0,0
1,0,2
1,0,3
1,0,11
1,0,10
1,0,8
1,0,9
1,0,13
1,0,12
1,0,14
1,0,15
1,0,7
1,0,6
1,0,4
1,0,5
2,0,19
2,0,18
2,0,16
2,0,17
2,0,1
2,0,0
2,0,2
2,0,3
2,0,11
2,0,10
2,0,8
2,0,9
2,0,13
2,0,12
2,0,14
2,0,15
2,0,7
2,0,6
2,0,4
2,0,5
3,0,19
3,0,18
3,0,16
3,0,17
3,0,1
3,0,0
3,0,2
3,0,3
3,0,11
3,0,10
3,0,8
3,0,9
3,0,13
3,0,12
3,0,14
3,0,15
3,0,7
3,0,6
3,0,4
3,0,5
4,0,19
4,0,18
4,0,16
4,0,17
4,0,1
4,0,0
4,0,2
4,0,3
4,0,11
4,0,10
4,0,8
4,0,9
4,0,13
4,0,12
4,0,14
4,0,15
4,0,7
4,0,6
4,0,4
4,0,5
0,1,39
0,1,38
0,1,36
0,1,37
0,1,21
0,1,20
0,1,22
0,1,23
0,1,31
0,1,30
0,1,28
0,1,29
0,1,33
0,1,32
0,1,34
0,1,35
0,1,27
0,1,26
0,1,24
0,1,25
1,1,39
1,1,38
1,1,36
1,1,37
1,1,21
1,1,20
1,1,22
1,1,23
1,1,31
1,1,30
1,1,28
1,1,29
1,1,33
1,1,32
1,1,34
1,1,35
1,1,27
1,1,26
1,1,24
1,1,25
2,1,39
2,1,38
2,1,36
2,1,37
2,1,21
2,1,20
2,1,22
2,1,23
2,1,31
2,1,30
2,1,28
2,1,29
2,1,33
2,1,32
2,1,34
2,1,35
2,1,27
2,1,26
2,1,24
2,1,25
3,1,39
3,1,38
3,1,36
3,1,37
3,1,21
3,1,20
3,1,22
3,1,23
3,1,31
3,1,30
3,1,28
3,1,29
3,1,33
3,1,32
3,1,34
3,1,35
3,1,27
3,1,26
3,1,24
3,1,25
4,1,39
4,1,38
4,1,36
4,1,37
4,1,21
4,1,20
4,1,22
4,1,23
4,1,31
4,1,30
4,1,28
4,1,29
4,1,33
4,1,32
4,1,34
4,1,35
4,1,27
4,1,26
4,1,24
4,1,25
0,2,59
0,2,58
0,2,56
0,2,57
0,2,41
0,2,40
0,2,42
0,2,43
0,2,51
0,2,50
0,2,48
0,2,49
0,2,53
0,2,52
0,2,54
0,2,55
0,2,47
0,2,46
0,2,44
0,2,45
1,2,59
1,2,58
1,2,56
1,2,57
1,2,41
1,2,40
1,2,42
1,2,43
1,2,51
1,2,50
1,2,48
1,2,49
1,2,53
1,2,52
1,2,54
1,2,55
1,2,47
1,2,46
1,2,44
1,2,45
2,2,59
2,2,58
2,2,56
2,2,57
2,2,41
2,2,40
2,2,42
2,2,43
2,2,51
2,2,50
2,2,48
2,2,49
2,2,53
2,2,52
2,2,54
2,2,55
2,2,47
2,2,46
2,2,44
2,2,45
3,2,59
3,2,58
3,2,56
3,2,57
3,2,41
3,2,40
3,2,42
3,2,43
3,2,51
3,2,50
3,2,48
3,2,49
3,2,53
3,2,52
3,2,54
3,2,55
3,2,47
3,2,46
3,2,44
3,2,45
4,2,59
4,2,58
4,2,56
4,2,57
4,2,41
4,2,40
4,2,42
4,2,43
4,2,51
4,2,50
4,2,48
4,2,49
4,2,53
4,2,52
4,2,54
4,2,55
4,2,47
4,2,46
4,2,44
4,2,45
0,3,79
0,3,78
0,3,76
0,3,77
0,3,61
0,3,60
0,3,62
0,3,63
0,3,71
0,3,70
0,3,68
0,3,69
0,3,73
0,3,72
0,3,74
0,3,75
0,3,67
0,3,66
0,3,64
0,3,65
1,3,79
1,3,78
1,3,76
1,3,77
1,3,61
1,3,60
1,3,62
1,3,63
1,3,71
1,3,70
1,3,68
1,3,69
1,3,73
1,3,72
1,3,74
1,3,75
1,3,67
1,3,66
1,3,64
1,3,65
2,3,79
2,3,78
2,3,76
2,3,77
2,3,61
2,3,60
2,3,62
2,3,63
2,3,71
2,3,70
2,3,68
2,3,69
2,3,73
2,3,72
2,3,74
2,3,75
2,3,67
2,3,66
2,3,64
2,3,65
3,3,79
3,3,78
3,3,76
3,3,77
3,3,61
3,3,60
3,3,62
3,3,63
3,3,71
3,3,70
3,3,68
3,3,69
3,3,73
3,3,72
3,3,74
3,3,75
3,3,67
3,3,66
3,3,64
3,3,65
4,3,79
4,3,78
4,3,76
4,3,77
4,3,61
4,3,60
4,3,62
4,3,63
4,3,71
4,3,70
4,3,68
4,3,69
4,3,73
4,3,72
4,3,74
4,3,75
4,3,67
4,3,66
4,3,64
4,3,65
0,4,99
0,4,98
0,4,96
0,4,97
0,4,81
0,4,80
0,4,82
0,4,83
0,4,91
0,4,90
0,4,88
0,4,89
0,4,93
0,4,92
0,4,94
0,4,95
0,4,87
0,4,86
0,4,84
0,4,85
1,4,99
1,4,98
1,4,96
1,4,97
1,4,81
1,4,80
1,4,82
1,4,83
1,4,91
1,4,90
1,4,88
1,4,89
1,4,93
1,4,92
1,4,94
1,4,95
1,4,87
1,4,86
1,4,84
1,4,85
2,4,99
2,4,98
2,4,96
2,4,97
2,4,81
2,4,80
2,4,82
2,4,83
2,4,91
2,4,90
2,4,88
2,4,89
2,4,93
2,4,92
2,4,94
2,4,95
2,4,87
2,4,86
2,4,84
2,4,85
3,4,99
3,4,98
3,4,96
3,4,97
3,4,81
3,4,80
3,4,82
3,4,83
3,4,91
3,4,90
3,4,88
3,4,89
3,4,93
3,4,92
3,4,94
3,4,95
3,4,87
3,4,86
3,4,84
3,4,85
4,4,99
4,4,98
